"site_id","tran_id","date","detection","obs_1","obs_2","obs_3","obs_4","col_point","utm_x","utm_y","elev","time","avg_wind_spd","air_temp","rel_hum","gr_temp","rock_ind","shr_nw","shr_ne","shr_se","shr_sw","shr_m_area","shr_m_density","pp_mam","pp_rep","pp_gbird","pp_total","vpd","med_vpd"
"sun_river","SR115","4/9/2025",1,"QJ",NA,NA,NA,6,265563,4100150,782,"10:58:00",2.7,21.7,14,28,4,107,117,304,142,3.284,0.429,0,0,0,0,2.232534195,2.547
"paradise_canyon","PC125","5/9/2025",1,"QJ",NA,NA,NA,6,266867,4115628,1013,"11:58:00",7.3,28,21,27,6,177,200,174,136,5.849,0.253,0,0,0,0,2.986144988,3.676
"cove_wash","CW088","5/15/2025",1,"SSS",NA,NA,NA,6,261147,4111478,958,"12:15:00",1.2,27.5,15,27,6,263,142,147,268,6.341,0.304,0,0,0,1,3.120579678,2.893
"paradise_canyon","PC114","5/21/2025",1,"DTP",NA,NA,NA,6,267127,4115656,1032,"10:08:00",1.4,27.5,17,21,6,186,141,465,284,2.538,0.633,0,0,0,0,3.047154274,2.408
"paradise_canyon","PC021","5/21/2025",1,"DTP",NA,NA,NA,6,267280,4115772,1015,"12:31:00",1.5,35,11,30,6,290,128,169,245,1.804,0.846,0,0,0,0,5.004186302,4.064
"fort_pearce","NFP002","5/29/2025",1,"QJ",NA,NA,NA,6,284647,4097776,974,"10:13:00",0,36,10,31,4,505,134,203,505,5.37,0.547,0,0,0,0,5.346897931,3.664
"paradise_canyon","PC137","5/30/2025",1,"QJ",NA,NA,NA,6,267954,4115733,960,"14:21:00",0,41.4,9,43.5,6,200,232,268,199,8.52,0.157,0,0,0,0,7.229047428,7.232
"paradise_canyon","PC095","5/30/2025",1,"SSS",NA,NA,NA,6,268051,4115526,966,"8:37:00",3.5,26.1,18,26,5,179,127,183,290,4.262,0.314,0,0,2,5,2.772716686,2.946
"paradise_canyon","PC039","6/6/2025",1,"EK",NA,NA,NA,6,267134,4115413,997,"12:20:00",4.2,29.3,26,41.4,6,64,174,276,49,3.097,0.595,0,0,0,4,3.015980412,2.589
"paradise_canyon","PC148","6/13/2025",1,"DTP",NA,NA,NA,6,268117,4115616,974,"10:10:00",0,34,13.5,32.5,6,118,73,266,288,2.5,0.59,0,0,0,0,4.601160082,4.378
"turkey_farm","TF073","6/17/2025",1,"QJ",NA,NA,NA,6,273963,4118743,1152,"11:19:00",2.3,34,10,35,6,185,84,196,153,3.532,0.423,0,0,0,1,4.787334189,5.122
"turkey_farm","TF042","6/17/2025",1,"QJ",NA,NA,NA,6,273813,4118803,1135,"9:07:00",2.1,30.4,9,29,6,25,55,59,122,7.32,0.543,0,0,0,9,3.95066548,3.733
"turkey_farm","TF017","6/17/2025",1,"SSS",NA,NA,NA,6,273942,4118674,1142,"9:00:00",3.2,28.6,8,29.7,6,75,130,129,132,1.888,0.73,0,0,0,0,3.600888555,3.575
"paradise_canyon","PC071","6/18/2025",1,"EK",NA,NA,NA,6,267990,4115780,959,"11:16:00",1.2,35.5,9,35.5,6,169,178,88,223,5.628,0.343,0,0,0,0,5.259745529,5.132
"fort_pearce","NFP171","6/19/2025",1,"DTP",NA,NA,NA,6,283883,4098124,876,"10:10:00",0,34.8,9.1,31.7,6,244,395,505,266,6.451,0.286,0,0,0,0,5.054789418,4.113
"sun_river","SR147","6/28/2025",1,"DTP",NA,NA,NA,6,265995,4100113,788,"21:10:00",1.9,34.1,10.2,30,6,98,305,299,337,4.556,0.442,0,0,0,0,4.8033561,5.421
"cove_wash","CW105","6/29/2025",1,"QJ","EK","SSS",NA,6,262087,4111582,930,"18:35:00",0,38.4,13,36,6,378,505,350,322,10.292,0.213,0,0,0,1,5.889372161,5.752
